"area_id","item_id","main_type","mid_type","sub_type","price","price_text","item_state","user_name","user_url","delivery_charge_burden","delivery_method","shipment_date_criterion",
"1","m25368618485","レディース","トップス","ニット/セーター","11880","¥ 11,880","未使用に近い","madococonut","https://www.mercari.com/jp/u/610730848/","送料込み(出品者負担)","未定","1~2日で発送",
"1","m21190365281","メンズ","ジャケット/アウター","Gジャン/デニムジャケット","4500","¥ 4,500","目立った傷や汚れなし","kurachan's shop","https://www.mercari.com/jp/u/415655674/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m20724113249","その他","食料品","魚介類","3888","¥ 3,888","新品、未使用","かに三昧","https://www.mercari.com/jp/u/161099528/","着払い(購入者負担)","クロネコヤマト","2~3日で発送",
"1","m24483364616","コスメ・香水・美容","ボディケア","その他","2300","¥ 2,300","目立った傷や汚れなし","1月末で処分します。りんこ","https://www.mercari.com/jp/u/543553235/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m55908906816","エンタメ・ホビー","テレビゲーム","家庭用ゲームソフト","3500","¥ 3,500","新品、未使用","ドリナイ","https://www.mercari.com/jp/u/372151186/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m48331349522","自動車・オートバイ","自動車","タイヤ","55000","¥ 55,000","新品、未使用","ムック","https://www.mercari.com/jp/u/700393072/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m54698660628","レディース","ジャケット/アウター","その他","555","¥ 555","新品、未使用","即買いNG  トトロ♪♪","https://www.mercari.com/jp/u/836007438/","送料込み(出品者負担)","ゆうゆうメルカリ便","4~7日で発送",
"1","m95386859628","家電・スマホ・カメラ","スマホアクセサリー","iPhone用ケース","1499","¥ 1,499","新品、未使用","さり☆プロフ必読☆対応機種をお間違えなく","https://www.mercari.com/jp/u/544688492/","送料込み(出品者負担)","クリックポスト","2~3日で発送",
"1","m83377692068","ベビー・キッズ","ベビー服(女の子用)  ~95cm","アウター","1399","¥ 1,399","やや傷や汚れあり","しょう","https://www.mercari.com/jp/u/824082985/","送料込み(出品者負担)","未定","1~2日で発送",
"1","m56991009457","エンタメ・ホビー","タレントグッズ","ミュージシャン","1000","¥ 1,000","新品、未使用","ラテラテ","https://www.mercari.com/jp/u/231511546/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
